P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(2,11,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,11,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,33,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,33,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,23,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,23,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,18,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,18,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,27,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,27,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(4,39,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,36,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,36,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,14,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,14,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,17,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,17,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,26,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,26,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,20,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,20,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,21,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,21,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,37,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,37,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(4,24,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,39,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(2,-35,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-35,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-36,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-36,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-38,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-38,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-39,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-39,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,32,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,32,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,34,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,34,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,35,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,35,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,25,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,25,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,16,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,16,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,19,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,19,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,31,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,31,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,10,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,10,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,22,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,22,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,9,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,9,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,13,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,13,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,12,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,12,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,28,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,28,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,15,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,15,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,29,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,29,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,38,-27)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,38,-27)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-40,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-40,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-37,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-37,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,0,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,0,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
"(2,-32,-26)","(39,1,-40)",2,sqrt(2),2,1,-999
"(4,-32,-26)","(39,1,-40)",4,sqrt(2),4,1,-999
