a_coeffs,b_coeffs,value,constant,c0,c1,c2
"(4,-3)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,-2)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,-2)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-2)","(1,9,-10)",2,sqrt(2),2,1,-999
"(2,-8)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,-8)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,-9)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,-9)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-9)","(4,6,-10)",2,sqrt(2),2,1,-999
"(4,-9)","(4,6,-10)",4,sqrt(2),4,1,-999
"(2,-9)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,-9)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,-8)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,-8)","(6,4,-10)",4,sqrt(2),4,1,-999
"(1,-7)","(-2,9,-10)",2,sqrt(2),2,1,-999
"(2,-5)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,-5)","(10,0,-10)",4,sqrt(2),4,1,-999
"(-3,7)","(5,-5,-10)",0.49999999999999512,sqrt(2),-4,2,-999
"(2,4)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,4)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,-7)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,-7)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,-1)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,-1)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,-9)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,-9)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,-8)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,-8)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,8)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,8)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,9)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,9)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,1)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,1)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,2)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,2)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,10)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,10)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,5)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,5)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,6)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,6)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,-2)","(0,10,-10)",2,sqrt(2),2,1,-999
"(4,-2)","(0,10,-10)",4,sqrt(2),4,1,-999
"(2,-10)","(4,6,-10)",2,sqrt(2),2,1,-999
"(4,-10)","(4,6,-10)",4,sqrt(2),4,1,-999
"(4,7)","(4,6,-10)",4,sqrt(2),4,1,-999
"(2,8)","(4,6,-10)",2,sqrt(2),2,1,-999
"(4,8)","(4,6,-10)",4,sqrt(2),4,1,-999
"(2,-7)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,-7)","(6,4,-10)",4,sqrt(2),4,1,-999
"(9,9)","(0,-9,-9)",7.8541019662496847,phi,3,1,3
"(2,-8)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,-8)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-7)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,-7)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-1)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,-1)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,0)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,0)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,9)","(4,6,-10)",2,sqrt(2),2,1,-999
"(4,9)","(4,6,-10)",4,sqrt(2),4,1,-999
"(2,10)","(4,6,-10)",2,sqrt(2),2,1,-999
"(1,-7)","(4,3,-10)",4,sqrt(2),4,1,-999
"(2,2)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,2)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,3)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,3)","(8,2,-10)",4,sqrt(2),4,1,-999
"(4,2)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,3)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,3)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,-5)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-5)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-4)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-4)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-10)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,-10)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,6)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,6)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,7)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,7)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,-2)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,-2)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,-1)","(2,8,-10)",2,sqrt(2),2,1,-999
"(2,-4)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,-4)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,3)","(4,6,-10)",2,sqrt(2),2,1,-999
"(4,3)","(4,6,-10)",4,sqrt(2),4,1,-999
"(2,1)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,1)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,2)","(2,8,-10)",2,sqrt(2),2,1,-999
"(2,10)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,10)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,5)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,5)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,6)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,6)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,-8)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,-8)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,-5)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,-5)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,4)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,4)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,4)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,4)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,9)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,9)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,-2)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,-2)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,-6)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,-6)","(3,7,-10)",4,sqrt(2),4,1,-999
"(2,-5)","(3,7,-10)",2,sqrt(2),2,1,-999
"(4,-5)","(3,7,-10)",4,sqrt(2),4,1,-999
"(4,2)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,3)","(10,0,-10)",2,sqrt(2),2,1,-999
"(4,3)","(10,0,-10)",4,sqrt(2),4,1,-999
"(2,5)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,5)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,3)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,3)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,4)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,4)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(9,1,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(9,1,-10)",4,sqrt(2),4,1,-999
"(2,-2)","(9,1,-10)",2,sqrt(2),2,1,-999
"(2,9)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,9)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,5)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,5)","(1,9,-10)",4,sqrt(2),4,1,-999
"(4,-2)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-1)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,-1)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-1)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,-1)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,0)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,0)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,-6)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,-6)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-5)","(1,9,-10)",2,sqrt(2),2,1,-999
"(-9,-9)","(0,-9,-9)",-7.8541019662496847,phi,-3,1,-3
"(2,7)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,7)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,6)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,6)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-7)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,-7)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,-6)","(8,2,-10)",2,sqrt(2),2,1,-999
"(2,1)","(8,2,-10)",2,sqrt(2),2,1,-999
"(4,1)","(8,2,-10)",4,sqrt(2),4,1,-999
"(2,0)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,0)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-8)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-8)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,-7)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,-7)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,9)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,9)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,10)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,10)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,2)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,2)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,3)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,3)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,7)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,7)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,8)","(7,3,-10)",2,sqrt(2),2,1,-999
"(4,8)","(7,3,-10)",4,sqrt(2),4,1,-999
"(2,3)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,3)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,4)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,4)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,6)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,6)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,7)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,7)","(1,9,-10)",4,sqrt(2),4,1,-999
"(4,-1)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,0)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,0)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,-4)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,-4)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,-3)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,-3)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,0)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,0)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,1)","(1,9,-10)",2,sqrt(2),2,1,-999
"(4,1)","(1,9,-10)",4,sqrt(2),4,1,-999
"(2,-7)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,-7)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,-6)","(2,8,-10)",2,sqrt(2),2,1,-999
"(4,-6)","(2,8,-10)",4,sqrt(2),4,1,-999
"(2,-7)","(0,8,-10)",4,sqrt(2),4,1,-999
"(2,7)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,7)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,-4)","(6,4,-10)",2,sqrt(2),2,1,-999
"(4,-4)","(6,4,-10)",4,sqrt(2),4,1,-999
"(2,1)","(5,5,-10)",2,sqrt(2),2,1,-999
"(4,1)","(5,5,-10)",4,sqrt(2),4,1,-999
"(2,1)","(4,6,-10)",2,sqrt(2),2,1,-999
"(4,1)","(4,6,-10)",4,sqrt(2),4,1,-999
