sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
3568,83,6,6,0,155.483902,19.037500,83
3569,62,6,8,2,166.558411,12.011325,62
3570,71,5,3,0,197.825455,76.572670,71
3571,72,6,8,2,146.060272,12.691667,72
3572,58,7,3,0,188.770767,27.889433,58
3573,80,4,6,1,170.651642,20.115816,80
3574,79,7,5,1,135.320587,10.349608,79
3575,69,5,6,0,158.699554,12.011325,69
3576,71,5,6,1,170.726028,41.281269,71
3577,71,8,5,1,164.999222,20.115816,71
3578,72,5,7,2,171.430649,27.889433,72
3579,75,9,6,0,148.821198,29.055025,75
3580,74,6,6,1,187.808441,29.469137,74
3581,82,7,5,2,147.916275,12.691667,82
3582,74,5,2,0,183.416321,53.913280,74
3583,79,4,9,0,155.676071,12.691667,79
3584,78,8,5,0,176.443466,20.115816,78
3585,77,9,7,4,162.469528,20.115816,77
3586,80,4,4,1,173.047867,19.037500,80
3587,76,7,3,1,164.273422,46.817097,76
3588,83,7,5,1,140.427231,12.691667,83
3589,64,5,3,1,196.785233,41.552361,64
3590,84,6,11,3,147.509949,11.155773,84
3591,76,4,5,1,173.364365,41.552361,76
3592,75,6,5,0,166.444946,41.281269,75
3593,79,7,4,1,136.808167,20.115816,79
3594,74,5,6,1,160.973755,20.115816,74
3595,73,4,6,1,173.277008,20.115816,73
3596,79,9,7,2,166.899048,19.037500,79
3597,63,2,2,0,167.128922,55.267891,63
3598,70,6,4,1,178.782852,11.155773,70
3599,80,6,4,1,145.445251,27.889433,80
3600,69,4,7,0,145.085571,29.469137,69
3601,76,7,6,0,169.181061,20.115816,76
3602,65,5,4,2,166.498611,27.889433,65
3603,78,6,7,0,168.753128,20.115816,78
3604,59,1,2,0,223.828751,46.964748,59
3605,91,3,10,0,137.206940,20.115816,91
3606,80,5,6,1,154.985077,25.902905,80
3607,71,9,7,1,187.564240,51.023239,71
3608,69,5,2,0,192.631287,29.469137,69
3609,69,7,5,1,184.019333,12.691667,69
3610,82,7,5,1,164.821091,19.037500,82
3611,84,5,5,1,163.615967,20.115816,84
3612,79,7,6,1,146.500015,12.691667,79
3613,66,6,5,2,181.254150,12.691667,66
3614,65,5,7,1,178.684204,66.161964,65
3615,88,5,11,1,146.245132,20.115816,88
3616,82,5,5,0,164.184753,44.447186,82
3617,71,5,4,0,197.452820,12.011325,71
