sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
9511,32,4,5,1,115.751511,20.115816,32
9512,46,3,3,1,120.271072,20.115816,46
9513,43,3,4,1,107.902725,17.681482,43
9514,40,3,5,0,99.592651,12.011325,40
9515,36,6,7,3,116.302170,10.349608,36
9516,32,1,4,0,146.402573,64.491028,32
9517,34,3,5,0,111.003807,38.592636,34
9518,38,1,4,0,139.005875,12.691667,38
9519,43,3,6,0,116.717987,12.691667,43
9520,40,7,2,0,111.761955,12.691667,40
9521,36,4,2,0,141.060303,44.629848,36
9522,34,4,4,0,120.474060,41.552361,34
9523,36,4,6,1,123.239563,11.155773,36
9524,48,8,5,2,96.891945,12.691667,48
9525,27,2,1,0,139.717514,41.103916,27
9526,39,6,5,1,117.744637,11.155773,39
9527,37,3,5,0,110.217926,35.803764,37
9528,38,3,5,0,117.787987,35.630013,38
9529,41,3,6,0,123.459526,44.447186,41
9530,35,2,2,0,135.657211,29.469137,35
9531,39,5,4,1,117.807953,10.349608,39
9532,34,5,2,1,109.319389,20.917076,34
9533,38,4,5,0,105.839821,29.469137,38
9534,45,4,4,1,105.965881,29.469137,45
9535,40,4,3,1,108.176407,29.469137,40
9536,44,8,4,0,98.626991,20.917076,44
9537,38,9,5,3,100.135498,10.349608,38
9538,39,7,4,1,96.594208,11.155773,39
9539,38,4,6,2,111.519173,15.270006,38
9540,39,4,4,1,121.831688,19.037500,39
9541,38,4,5,0,129.330887,19.037500,38
9542,34,5,4,0,111.541656,19.037500,34
9543,33,8,3,1,105.737648,10.349608,33
9544,34,5,3,0,114.966354,12.691667,34
9545,45,6,1,0,99.541649,20.115816,45
9546,40,6,5,2,124.686401,12.691667,40
9547,49,7,4,2,96.714874,29.270636,49
9548,39,6,4,0,136.707001,52.372795,39
9549,22,3,3,1,91.850105,12.691667,22
9550,37,5,5,0,104.400772,12.691667,37
9551,36,2,4,0,143.395279,12.691667,36
9552,46,6,8,1,91.234741,11.155773,46
9553,42,7,3,0,107.142258,12.691667,42
9554,36,6,8,2,111.167839,17.681482,36
9555,49,2,3,0,111.345757,45.912231,49
9556,36,5,4,1,105.411438,19.037500,36
9557,38,5,2,1,118.852242,29.469137,38
9558,45,6,3,1,113.552040,38.298103,45
9559,35,8,3,1,103.317032,12.011325,35
9560,39,5,8,2,110.058601,20.115816,39
9561,42,5,6,2,120.390137,12.691667,42
9562,41,8,6,1,109.035049,12.691667,41
9563,38,1,5,0,118.210175,12.691667,38
9564,49,7,6,2,113.294052,10.349608,49
9565,40,7,6,1,108.082512,12.691667,40
9566,34,8,5,2,117.876213,20.115816,34
9567,39,7,5,1,146.999054,12.691667,39
9568,38,5,6,1,109.911270,25.902905,38
9569,35,2,4,0,111.613472,11.155773,35
9570,37,5,4,1,116.066666,51.273991,37
9571,35,4,8,2,130.396805,35.803764,35
9572,29,1,1,0,166.153946,74.660545,29
