t,rho
4.138614,0.337696662186
4.148515,0.336938696469
4.158416,0.336164147813
4.168317,0.335372829391
4.178218,0.334564542035
4.188119,0.333739073831
4.198020,0.332896199679
4.207921,0.332035680813
4.217822,0.331157264287
4.227723,0.330260682407
4.237624,0.329345652119
4.247525,0.328411874343
4.257426,0.327459033246
4.267327,0.326486795447
4.277228,0.325494809155
4.287129,0.324482703223
4.297030,0.323450086110
4.306931,0.322396544756
4.316832,0.321321643333
4.326733,0.320224921886
4.336634,0.319105894832
4.346535,0.317964049312
4.356436,0.316798843361
4.366337,0.315609703908
4.376238,0.314396024538
4.386139,0.313157163025
4.396040,0.311892438586
4.405941,0.310601128821
4.415842,0.309282466299
4.425743,0.307935634736
4.435644,0.306559764704
4.445545,0.305153928808
4.455446,0.303717136241
4.465347,0.302248326617
4.475248,0.300746362972
4.485149,0.299210023785
4.495050,0.297637993849
4.504950,0.296028853789
4.514851,0.294381067965
4.524752,0.292692970465
4.534653,0.290962748786
4.544554,0.289188424744
4.554455,0.287367832000
4.564356,0.285498589451
4.574257,0.283578069522
4.584158,0.281603360113
4.594059,0.279571218587
4.603960,0.277478015671
4.613861,0.275319666441
4.623762,0.273091544591
4.633663,0.270788374762
4.643564,0.268404095718
4.653465,0.265931684161
4.663366,0.263362924514
4.673267,0.260688103127
4.683168,0.257895594542
4.693069,0.254971289905
4.702970,0.251897788338
4.712871,0.248653221429
4.722772,0.245209490164
4.732673,0.241529523767
4.742574,0.237562839096
4.752475,0.233238012639
4.762376,0.228449337678
4.772277,0.223032715273
4.782178,0.216727944833
4.792079,0.209202401631
4.801980,0.200812552096
4.811881,0.195543931919
4.821782,0.201463192948
4.831683,0.206212423043
4.841584,0.210284996506
4.851485,0.213937984637
4.861386,0.217311012725
4.871287,0.220486557978
4.881188,0.223517018227
4.891089,0.226437662209
4.900990,0.229273334194
4.910891,0.232042178240
4.920792,0.234757833398
4.930693,0.237430793549
4.940594,0.240069285677
4.950495,0.242679857641
4.960396,0.245267783673
4.970297,0.247837351659
4.980198,0.250392071414
4.990099,0.252934828855
5.000000,0.255468002237
5.009901,0.257993551284
5.019802,0.260513086601
5.029703,0.263027924510
5.039604,0.265539130959
5.049505,0.268047557147
5.059406,0.270553868770
5.069307,0.273058570325
5.079208,0.275562025532
5.089109,0.278064474686
5.099010,0.280566049553
5.108911,0.283066786277
5.118812,0.285566636679
5.128713,0.288065478230
5.138614,0.290563122911
5.148515,0.293059325153
5.158416,0.295553788992
5.168317,0.298046174542
5.178218,0.300536103887
5.188119,0.303023166455
5.198020,0.305506923933
5.207921,0.307986914771
5.217822,0.310462658312
5.227723,0.312933658581
5.237624,0.315399407758
5.247525,0.317859389353
5.257426,0.320313081119
5.267327,0.322759957695
5.277228,0.325199493019
5.287129,0.327631162507
5.297030,0.330054445025
5.306931,0.332468824654
5.316832,0.334873792272
5.326733,0.337268846951
5.336634,0.339653497195
5.346535,0.342027262016
5.356436,0.344389671868
5.366337,0.346740269445
5.376238,0.349078610351
5.386139,0.351404263656
5.396040,0.353716812347
5.405941,0.356015853673
5.415842,0.358300999408
5.425743,0.360571876032
5.435644,0.362828124829
5.445545,0.365069401930
5.455446,0.367295378289
5.465347,0.369505739606
5.475248,0.371700186204
5.485149,0.373878432863
5.495050,0.376040208621
5.504950,0.378185256534
5.514851,0.380313333424
5.524752,0.382424209587
5.534653,0.384517668492
5.544554,0.386593506463
5.554455,0.388651532344
5.564356,0.390691567160
5.574257,0.392713443761
5.584158,0.394717006472
5.594059,0.396702110730
5.603960,0.398668622730
5.613861,0.400616419056
5.623762,0.402545386329
5.633663,0.404455420849
5.643564,0.406346428243
5.653465,0.408218323116
5.663366,0.410071028711
5.673267,0.411904476573
5.683168,0.413718606217
5.693069,0.415513364809
5.702970,0.417288706850
5.712871,0.419044593869
5.722772,0.420780994125
5.732673,0.422497882316
5.742574,0.424195239294
5.752475,0.425873051796
5.762376,0.427531312174
5.772277,0.429170018139
5.782178,0.430789172513
5.792079,0.432388782988
5.801980,0.433968861891
5.811881,0.435529425963
5.821782,0.437070496138
5.831683,0.438592097341
5.841584,0.440094258278
5.851485,0.441577011251
5.861386,0.443040391964
5.871287,0.444484439351
5.881188,0.445909195397
5.891089,0.447314704978
5.900990,0.448701015702
5.910891,0.450068177752
5.920792,0.451416243748
5.930693,0.452745268601
5.940594,0.454055309385
5.950495,0.455346425204
5.960396,0.456618677077
5.970297,0.457872127818
5.980198,0.459106841925
5.990099,0.460322885477
6.000000,0.461520326037
6.009901,0.462699232550
6.019802,0.463859675261
6.029703,0.465001725627
6.039604,0.466125456237
6.049505,0.467230940740
6.059406,0.468318253770
6.069307,0.469387470886
6.079208,0.470438668507
6.089109,0.471471923856
6.099010,0.472487314909
6.108911,0.473484920347
6.118812,0.474464819509
6.128713,0.475427092360
6.138614,0.476371819446
6.148515,0.477299081873
6.158416,0.478208961272
6.168317,0.479101539783
6.178218,0.479976900031
6.188119,0.480835125115
6.198020,0.481676298597
6.207921,0.482500504495
6.217822,0.483307827283
6.227723,0.484098351892
6.237624,0.484872163717
6.247525,0.485629348628
6.257426,0.486369992983
6.267327,0.487094183654
6.277228,0.487802008043
6.287129,0.488493554116
6.297030,0.489168910433
6.306931,0.489828166192
6.316832,0.490471411263
6.326733,0.491098736242
6.336634,0.491710232505
6.346535,0.492305992260
6.356436,0.492886108617
6.366337,0.493450675652
6.376238,0.493999788486
6.386139,0.494533543364
6.396040,0.495052037741
6.405941,0.495555370376
6.415842,0.496043641436
6.425743,0.496516952595
6.435644,0.496975407154
6.445545,0.497419110160
6.455446,0.497848168538
6.465347,0.498262691225
6.475248,0.498662789316
6.485149,0.499048576223
6.495050,0.499420167832
6.504950,0.499777682684
6.514851,0.500121242154
6.524752,0.500450970647
6.534653,0.500766995803
6.544554,0.501069448718
6.554455,0.501358464166
6.564356,0.501634180850
6.574257,0.501896741653
6.584158,0.502146293910
6.594059,0.502382989694
6.603960,0.502606986115
6.613861,0.502818445639
6.623762,0.503017536422
6.633663,0.503204432664
6.643564,0.503379314980
6.653465,0.503542370793
6.663366,0.503693794745
6.673267,0.503833789132
6.683168,0.503962564365
6.693069,0.504080339449
6.702970,0.504187342489
6.712871,0.504283811225
6.722772,0.504369993593
6.732673,0.504446148313
6.742574,0.504512545504
6.752475,0.504569467339
6.762376,0.504617208721
6.772277,0.504656077999
6.782178,0.504686397714
6.792079,0.504708505377
6.801980,0.504722754291
6.811881,0.504729514401
6.821782,0.504729173179
6.831683,0.504722136555
6.841584,0.504708829872
6.851485,0.504689698886
6.861386,0.504665210795
6.871287,0.504635855306
6.881188,0.504602145731
6.891089,0.504564620115
6.900990,0.504523842383
6.910891,0.504480403521
6.920792,0.504434922763
6.930693,0.504388048794
6.940594,0.504340460961
6.950495,0.504292870466
6.960396,0.504246021562
6.970297,0.504200692709
6.980198,0.504157697690
6.990099,0.504117886683
7.000000,0.504082147243
7.009901,0.504051405203
7.019802,0.504026625449
7.029703,0.504008812562
7.039604,0.503999011281
7.049505,0.503998306777
7.059406,0.504007824682
7.069307,0.504028730862
7.079208,0.504062230878
7.089109,0.504109569101
7.099010,0.504172027450
7.108911,0.504250923692
7.118812,0.504347609285
7.128713,0.504463466714
7.138614,0.504599906270
7.148515,0.504758362272
7.158416,0.504940288665
7.168317,0.505147154006
7.178218,0.505380435802
7.188119,0.505641614215
7.198020,0.505932165141
7.207921,0.506253552685
7.217822,0.506607221079
7.227723,0.506994586108
7.237624,0.507417026103
7.247525,0.507875872625
7.257426,0.508372400923
7.267327,0.508907820320
7.277228,0.509483264652
7.287129,0.510099782934
7.297030,0.510758330386
7.306931,0.511459760015
7.316832,0.512204814885
7.326733,0.512994121255
7.336634,0.513828182698
7.346535,0.514707375345
7.356436,0.515631944345
7.366337,0.516602001599
7.376238,0.517617524843
7.386139,0.518678358051
7.396040,0.519784213172
7.405941,0.520934673128
7.415842,0.522129196010
7.425743,0.523367120357
7.435644,0.524647671407
7.445545,0.525969968164
7.455446,0.527333031158
7.465347,0.528735790718
7.475248,0.530177095622
7.485149,0.531655721958
7.495050,0.533170382078
7.504950,0.534719733484
7.514851,0.536302387560
7.524752,0.537916918018
7.534653,0.539561869006
7.544554,0.541235762775
7.554455,0.542937106879
7.564356,0.544664400856
7.574257,0.546416142370
7.584158,0.548190832801
7.594059,0.549986982285
7.603960,0.551803114208
7.613861,0.553637769180
7.623762,0.555489508494
7.633663,0.557356917117
7.643564,0.559238606227
7.653465,0.561133215335
7.663366,0.563039414030
7.673267,0.564955903366
7.683168,0.566881416943
7.693069,0.568814721699
7.702970,0.570754618450
7.712871,0.572699942209
7.722772,0.574649562311
7.732673,0.576602382360
7.742574,0.578557340044
7.752475,0.580513406806
7.762376,0.582469587430
7.772277,0.584424919521
7.782178,0.586378472923
7.792079,0.588329349074
