d,R(d)
1290,410
1291,1785
1292,860
1293,1340
1294,780
1295,1230
1296,713
1297,1838
1298,800
1299,1100
1300,560
1301,1680
1302,500
1303,1870
1304,1040
1305,700
1306,850
1307,1980
1308,460
1309,1260
1310,780
1311,1105
1312,780
1313,1610
1314,680
1315,1233
1316,670
1317,1250
1318,960
1319,1780
1320,325
1321,1810
1322,960
1323,978
1324,1000
1325,1438
1326,580
1327,1820
1328,800
1329,1250
1330,640
1331,1660
1332,740
1333,1635
1334,800
1335,1180
1336,880
1337,1610
1338,580
1339,1820
1340,780
1341,1000
1342,740
1343,1580
1344,600
1345,1570
1346,920
1347,1100
1348,910
1349,1620
1350,460
1351,1600
1352,840
1353,1200
1354,1080
1355,1420
1356,540
1357,1756
1358,620
1359,1260
1360,660
1361,1920
1362,678
1363,1850
1364,930
1365,740
1366,898
1367,1780
1368,555
1369,1700
1370,860
1371,1180
1372,750
1373,2000
1374,760
1375,1240
1376,920
1377,1040
1378,760
1379,1680
1380,560
1381,1820
1382,1020
1383,1298
1384,1000
1385,1345
1386,420
1387,1620
1388,800
1389,1090
1390,740
1391,1780
1392,480
1393,1528
1394,880
1395,820
1396,900
1397,1770
1398,380
1399,1820
1400,660
1401,1440
1402,820
1403,1670
1404,533
1405,1780
1406,900
1407,1220
1408,800
1409,1861
1410,480
1411,1860
1412,860
1413,1260
1414,900
1415,1300
1416,580
1417,1778
1418,1180
1419,1100
1420,760
1421,1520
1422,700
1423,2040
1424,840
1425,1180
1426,835
1427,1910
1428,636
1429,1941
1430,520
1431,1120
1432,980
1433,2132
1434,720
1435,1260
1436,990
1437,1120
1438,1080
1439,1748
1440,478
1441,1920
1442,720
1443,770
1444,1040
1445,1595
1446,580
1447,1760
1448,960
1449,1055
1450,620
1451,1830
1452,520
1453,1660
1454,960
1455,1120
1456,740
1457,1630
1458,970
1459,1840
1460,720
1461,1230
1462,1020
1463,1800
1464,480
1465,1440
1466,995
1467,1628
1468,740
1469,1836
1470,360
1471,1795
1472,840
1473,1373
1474,820
1475,1400
1476,620
1477,1740
1478,830
1479,1200
1480,965
1481,2100
1482,580
1483,1810
1484,680
1485,900
1486,1000
1487,2000
1488,760
1489,1698
1490,693
1491,1218
1492,900
1493,1850
1494,700
1495,1640
1496,960
1497,1260
1498,980
1499,1760
1500,500
1501,1937
1502,885
1503,1558
1504,1050
1505,1420
1506,638
1507,1805
1508,720
1509,1473
1510,710
1511,1810
1512,460
1513,1500
1514,770
1515,1018
1516,1077
1517,1820
1518,508
1519,1780
1520,912
1521,1340
1522,1020
1523,2030
1524,578
1525,1440
1526,740
1527,1260
1528,1148
1529,1698
1530,310
1531,1990
1532,1180
1533,1130
1534,920
1535,1760
1536,800
1537,1880
1538,1100
1539,1190
1540,560
1541,1960
1542,540
1543,2030
1544,1200
1545,1060
1546,960
1547,1335
1548,700
1549,1980
1550,725
1551,1133
1552,900
1553,1965
1554,640
1555,1710
1556,1080
1557,1440
1558,820
1559,2096
1560,400
1561,1615
1562,938
1563,1375
1564,900
1565,1695
1566,840
1567,1976
1568,890
1569,1180
1570,680
1571,2110
1572,498
1573,1535
1574,1060
1575,805
1576,960
1577,1935
1578,620
1579,1980
1580,773
1581,1160
1582,900
1583,2030
1584,594
1585,1600
1586,1000
1587,1390
1588,1000
1589,1750
1590,580
1591,2238
1592,1080
1593,1440
1594,1080
1595,1480
1596,680
1597,2206
1598,940
1599,1300
1600,910
1601,2180
1602,615
1603,1940
1604,960
1605,1220
1606,900
1607,2000
1608,535
1609,2040
1610,760
1611,1420
1612,938
1613,1973
1614,673
1615,1556
1616,1160
1617,860
1618,996
1619,1888
1620,780
1621,1950
1622,1100
1623,1460
1624,910
1625,1540
1626,633
1627,2140
1628,920
1629,1170
1630,837
1631,1780
1632,645
1633,1960
1634,812
1635,1116
1636,1036
1637,1970
1638,400
1639,1695
1640,1020
1641,1416
1642,1120
1643,2013
1644,740
1645,1440
1646,1178
1647,1310
1648,1020
1649,2000
1650,440
1651,1916
1652,800
1653,1460
1654,990
1655,1900
1656,820
1657,2214
1658,940
1659,1090
1660,840
1661,2177
1662,790
1663,1840
1664,1000
1665,895
1666,780
1667,1960
1668,618
1669,2188
1670,940
1671,1410
1672,1045
1673,1735
1674,580
1675,1804
1676,940
1677,1420
1678,1058
1679,2097
1680,620
1681,2360
1682,1190
1683,1180
1684,828
1685,1460
1686,480
1687,1790
1688,1010
1689,1250
1690,700
1691,1763
1692,675
1693,1775
1694,760
1695,948
1696,860
1697,2330
1698,770
1699,2350
1700,740
1701,1275
1702,1015
1703,2260
1704,786
1705,1250
1706,1195
1707,1680
1708,1073
1709,2215
1710,417
1711,1818
1712,1055
1713,1560
1714,1080
1715,1440
1716,440
1717,2318
1718,920
1719,1210
1720,955
1721,2080
1722,690
1723,2300
1724,1000
1725,955
1726,960
1727,1860
1728,610
1729,1830
1730,745
1731,1338
1732,1180
1733,2370
1734,923
1735,1578
1736,820
1737,1315
1738,1030
1739,1951
1740,740
1741,2090
1742,860
1743,1100
1744,1118
1745,1608
1746,840
1747,2072
1748,980
1749,1339
1750,680
1751,2350
1752,577
1753,1913
1754,1030
1755,1013
1756,840
1757,2183
1758,900
1759,2120
1760,860
1761,1460
1762,1320
1763,1959
1764,589
1765,1620
1766,1094
1767,1519
1768,1080
1769,1941
1770,700
1771,2000
1772,1040
1773,1600
1774,1180
1775,1710
1776,860
1777,2050
1778,725
1779,1275
1780,900
1781,1955
1782,760
1783,2180
1784,1298
1785,1060
1786,1020
1787,2210
1788,620
1789,2500
1790,880
1791,1160
1792,780
1793,1868
1794,580
1795,1720
1796,938
1797,1372
1798,1113
1799,2153
1800,558
1801,2380
1802,875
1803,1553
1804,1080
1805,1810
1806,700
1807,1989
1808,1060
1809,1698
1810,1015
1811,2003
1812,937
1813,1930
1814,1120
1815,840
1816,1220
1817,1920
1818,620
1819,1970
1820,670
1821,1480
1822,1320
1823,2417
1824,680
1825,1700
1826,1148
1827,1200
1828,1240
1829,2011
1830,417
1831,2113
1832,1178
1833,1340
1834,950
1835,1560
1836,685
1837,1880
1838,1100
1839,1325
1840,880
1841,1758
1842,576
1843,2528
1844,1170
1845,978
1846,1020
1847,2397
1848,600
1849,2505
1850,880
1851,1855
1852,820
1853,2468
1854,760
1855,1250
1856,1043
1857,1420
1858,1160
1859,2080
1860,480
1861,2218
1862,835
1863,1420
1864,1170
1865,1728
1866,680
1867,2460
1868,1055
1869,1300
1870,800
1871,2206
1872,660
1873,2255
1874,1100
1875,990
1876,965
1877,2186
1878,826
1879,2230
1880,1019
1881,1238
1882,1080
1883,2088
1884,748
1885,1705
1886,1030
1887,1575
1888,1320
1889,2353
1890,640
1891,2114
1892,955
1893,1578
1894,1200
1895,1820
1896,660
1897,1930
1898,800
1899,1628
1900,746
1901,2103
1902,750
1903,2060
1904,800
1905,1280
1906,1132
1907,2510
1908,600
1909,2278
1910,1080
1911,1238
1912,1200
1913,2245
1914,800
1915,2063
1916,1178
1917,1480
1918,780
1919,2090
1920,420
1921,2133
1922,1450
1923,1698
1924,1020
1925,1360
1926,1015
1927,2254
1928,1215
1929,1600
1930,810
1931,2476
1932,600
1933,2380
1934,1013
1935,1200
1936,1300
1937,2228
1938,525
1939,2040
1940,920
1941,1516
1942,1150
1943,2090
1944,800
1945,1870
1946,1280
1947,1373
1948,960
1949,2593
1950,620
1951,2530
1952,1188
1953,1360
1954,1180
1955,1715
1956,730
1957,2079
1958,1270
1959,1635
1960,935
1961,1871
1962,760
1963,2018
1964,1200
1965,1408
1966,1135
1967,1938
1968,880
1969,2300
1970,1060
1971,1515
1972,1000
1973,2241
1974,586
1975,1890
1976,1135
1977,1590
1978,990
1979,2553
1980,480
1981,2020
1982,1140
1983,1560
1984,1318
1985,1660
1986,620
1987,2240
1988,1055
1989,1510
1990,1098
1991,2021
1992,700
1993,2670
1994,1115
1995,960
1996,1230
1997,2438
1998,740
1999,2421
2000,1080
2001,1390
2002,735
2003,2440
2004,757
2005,1658
2006,1080
2007,1590
2008,1370
2009,1860
2010,640
2011,2323
2012,1148
2013,1380
2014,1313
2015,1858
2016,685
2017,2203
2018,1413
2019,1440
2020,860
2021,2200
2022,790
2023,1746
2024,1197
2025,1225
2026,918
2027,2408
2028,740
2029,2730
2030,820
2031,1400
2032,1090
2033,2323
2034,940
2035,1507
2036,1406
2037,1540
2038,1156
2039,2340
2040,605
2041,2520
2042,1182
2043,1613
2044,895
2045,1935
2046,660
2047,2330
2048,1130
2049,1685
2050,1080
2051,2296
2052,690
2053,2517
2054,860
2055,1150
2056,1085
2057,2050
2058,753
2059,2150
2060,960
2061,1640
2062,1218
2063,2300
2064,880
2065,1709
2066,1340
2067,1590
2068,990
2069,2278
2070,595
2071,2280
2072,1040
2073,1560
2074,1040
2075,1958
2076,770
2077,2365
2078,1175
2079,1242
2080,920
2081,2185
2082,1034
2083,2746
2084,1258
2085,1350
2086,740
2087,2255
2088,815
2089,2418
2090,1033
2091,1350
2092,1280
2093,2070
2094,801
2095,1788
2096,1320
2097,1424
2098,910
2099,2293
2100,775
2101,2118
2102,1340
2103,1464
2104,1316
2105,2070
2106,780
2107,1838
2108,1260
2109,1518
2110,980
2111,2566
2112,576
2113,2400
2114,1155
2115,1233
2116,1338
2117,2590
2118,820
2119,2169
2120,838
2121,1750
2122,1333
2123,2148
2124,655
2125,1880
2126,1350
2127,1700
2128,1200
2129,2357
2130,540
2131,2633
2132,1208
2133,1718
2134,1200
2135,1453
2136,780
2137,2435
2138,1450
2139,1900
2140,900
2141,2203
2142,720
2143,2457
2144,1080
2145,1066
2146,1158
2147,2560
2148,712
2149,1988
2150,780
2151,1672
2152,1260
2153,2876
2154,830
2155,1805
2156,820
2157,1540
2158,1166
2159,2004
2160,760
2161,2586
2162,955
2163,1418
2164,1090
2165,2060
2166,990
2167,2600
2168,1240
2169,1515
2170,780
2171,2505
2172,833
2173,2518
2174,1190
2175,1265
2176,960
2177,1840
2178,990
2179,2575
2180,960
2181,2075
2182,1333
2183,2148
2184,778
2185,2218
2186,1290
2187,1510
2188,1420
2189,2415
2190,700
2191,2211
2192,1430
2193,1438
2194,1248
2195,2160
2196,651
2197,2234
2198,1159
2199,1620
2200,985
2201,2338
2202,820
2203,2713
2204,1350
2205,1168
2206,1317
2207,2492
2208,972
2209,2464
2210,895
2211,1410
2212,1135
2213,2478
2214,858
2215,1910
2216,1246
2217,1790
2218,1324
2219,2165
2220,598
2221,2390
2222,1040
2223,1450
2224,1184
2225,1800
2226,666
2227,2245
2228,1253
2229,1535
2230,1080
2231,2423
2232,580
2233,1973
2234,1093
2235,1378
2236,1245
2237,2515
2238,1095
2239,2586
2240,856
2241,1580
2242,1250
2243,2795
2244,530
2245,2511
2246,1140
2247,1570
2248,1340
2249,2284
2250,476
2251,2640
2252,1048
2253,1920
2254,1113
2255,1961
2256,1120
2257,2326
2258,1135
2259,1746
2260,968
2261,2130
2262,698
2263,2200
2264,1328
2265,1286
2266,1000
2267,2171
2268,660
2269,2573
2270,1103
2271,2185
2272,1380
2273,2756
2274,786
2275,1490
2276,1356
2277,1560
2278,1220
2279,2530
2280,665
2281,2515
2282,1140
2283,2091
2284,1730
2285,2034
2286,790
2287,2623
2288,820
2289,1223
2290,958
2291,2500
2292,638
2293,2955
2294,1042
2295,1296
2296,1078
2297,2721
2298,740
2299,2283
2300,1015
2301,1253
2302,1367
2303,2122
2304,773
2305,1965
2306,1260
2307,1778
2308,1438
2309,2729
2310,410
2311,2614
2312,1143
2313,1408
2314,1284
2315,1990
2316,795
2317,2167
2318,1213
2319,2057
2320,1180
2321,2310
2322,820
2323,2370
2324,1101
2325,1417
2326,1168
2327,2020
2328,790
2329,2444
2330,1205
2331,1518
2332,1280
2333,2441
2334,840
2335,1847
2336,1478
2337,1520
2338,1330
2339,2545
2340,580
2341,2865
2342,1330
2343,1578
2344,1627
2345,1728
2346,666
2347,2895
2348,1303
2349,1742
2350,1140
2351,2692
2352,784
2353,2240
2354,1150
2355,1245
2356,1100
2357,2554
2358,840
2359,2183
2360,960
2361,1914
2362,1359
2363,2434
2364,845
2365,1793
2366,1250
2367,1970
2368,1158
2369,2568
2370,560
2371,2579
2372,1278
2373,1528
2374,1090
2375,1975
2376,960
2377,2953
2378,1518
2379,1880
2380,860
2381,2765
2382,1120
2383,2378
2384,1393
2385,1295
2386,1175
2387,1905
2388,840
2389,2633
2390,1067
2391,1780
2392,1133
2393,2660
2394,765
2395,2232
2396,1375
2397,1871
2398,1053
2399,3132
2400,805
2401,2244
2402,1305
2403,1700
2404,1375
2405,1955
2406,900
2407,2845
2408,995
2409,1682
2410,1285
2411,3016
2412,900
2413,2210
2414,1219
2415,1248
2416,1373
2417,2550
2418,777
2419,2882
2420,1218
2421,1831
2422,1307
2423,2408
2424,689
2425,2131
2426,1080
2427,1880
2428,1180
2429,2150
2430,600
2431,2504
2432,1030
2433,1517
2434,1270
2435,2224
2436,670
2437,2919
2438,1378
2439,2093
2440,1040
2441,2790
2442,680
2443,2216
2444,1118
2445,1330
