d,alpha,ratio,a1,a2,max_digit
715,124,0.17342657,5,1,5
716,123,0.17178771,5,1,5
717,124,0.17294282,5,1,5
718,129,0.17966574,5,1,5
719,128,0.17802503,5,1,5
720,133,0.18472222,5,2,5
721,124,0.17198336,5,1,5
722,127,0.17590028,5,1,5
723,125,0.17289073,5,1,5
724,125,0.17265193,5,1,5
725,127,0.17517241,5,1,5
726,125,0.17217631,5,1,5
727,125,0.17193948,5,1,5
728,127,0.17445055,5,1,5
729,127,0.17421125,5,1,5
730,141,0.19315068,5,5,5
731,125,0.17099863,5,1,5
732,127,0.17349727,5,1,5
733,127,0.17326057,5,1,5
734,129,0.17574932,5,1,5
735,127,0.17278912,5,1,5
736,131,0.17798913,5,1,5
737,126,0.17096336,5,1,5
738,127,0.17208672,5,1,5
739,128,0.17320704,5,1,5
740,127,0.17162162,5,1,5
741,128,0.17273954,5,1,5
742,127,0.17115903,5,1,5
743,127,0.17092867,5,1,5
744,157,0.21102151,4,1,5
745,128,0.17181208,5,1,5
746,129,0.17292225,5,1,5
747,131,0.17536814,5,1,5
748,131,0.17513369,5,1,5
749,128,0.17089453,5,1,5
750,131,0.17466667,5,1,5
751,129,0.17177097,5,1,5
752,131,0.17420213,5,1,5
753,130,0.17264276,5,1,5
754,129,0.17108753,5,1,5
755,129,0.17086093,5,1,5
756,131,0.17328042,5,1,5
757,132,0.17437252,5,1,5
758,139,0.18337731,5,2,5
759,130,0.17127800,5,1,5
760,137,0.18026316,5,1,5
761,130,0.17082786,5,1,5
762,131,0.17191601,5,1,5
763,131,0.17169069,5,1,5
764,137,0.17931937,5,1,5
765,131,0.17124183,5,1,5
766,131,0.17101828,5,1,5
767,132,0.17209909,5,1,5
768,133,0.17317708,5,1,5
769,132,0.17165150,5,1,5
770,137,0.17792208,5,1,5
771,137,0.17769131,5,1,5
772,135,0.17487047,5,1,5
773,135,0.17464424,5,1,5
774,133,0.17183463,5,1,5
775,133,0.17161290,5,1,5
776,145,0.18685567,5,2,5
777,139,0.17889318,5,1,5
778,133,0.17095116,5,1,5
779,134,0.17201540,5,1,5
780,137,0.17564103,5,1,5
781,134,0.17157490,5,1,5
782,135,0.17263427,5,1,5
783,134,0.17113665,5,1,5
784,135,0.17219388,5,1,5
785,136,0.17324841,5,1,5
786,149,0.18956743,5,3,5
787,136,0.17280813,5,1,5
788,145,0.18401015,5,2,5
789,145,0.18377693,5,2,5
790,137,0.17341772,5,1,5
