q,tau_q,alpha_q,f_alpha
-8.4000,4.605837581843312,0.000000000000000,-4.605837581843312
-8.3900,4.605837581843312,0.000000000000000,-4.605837581843312
-8.3800,4.605837581843312,-0.000011705569225,-4.605739489173207
-8.3700,4.605837347731928,-0.000011705569225,-4.605739372117514
-8.3600,4.605837347731928,0.000000000000000,-4.605837347731928
-8.3500,4.605837347731928,-0.000000000013500,-4.605837347619200
-8.3400,4.605837347731658,-0.000000000013500,-4.605837347619065
-8.3300,4.605837347731658,0.000000000000000,-4.605837347731658
-8.3200,4.605837347731658,0.000000000000000,-4.605837347731658
-8.3100,4.605837347731658,-0.000000000576428,-4.605837342941543
-8.3000,4.605837347720129,-0.000000000576428,-4.605837342935779
-8.2900,4.605837347720129,0.000000000000000,-4.605837347720129
-8.2800,4.605837347720129,0.000000000000000,-4.605837347720129
-8.2700,4.605837347720129,0.000000000000000,-4.605837347720129
-8.2600,4.605837347720129,0.000000000000000,-4.605837347720129
-8.2500,4.605837347720129,0.000000000000000,-4.605837347720129
-8.2400,4.605837347720129,0.000000000000000,-4.605837347720129
-8.2300,4.605837347720129,0.000000000000000,-4.605837347720129
-8.2200,4.605837347720129,0.000000000000000,-4.605837347720129
-8.2100,4.605837347720129,0.000000000000000,-4.605837347720129
-8.2000,4.605837347720129,-0.000000191866167,-4.605835774417557
-8.1900,4.605837343882806,-0.000000191866167,-4.605835772498895
-8.1800,4.605837343882806,0.000000000000000,-4.605837343882806
-8.1700,4.605837343882806,0.000000000000000,-4.605837343882806
-8.1600,4.605837343882806,0.000000000000000,-4.605837343882806
-8.1500,4.605837343882806,0.000000000000000,-4.605837343882806
-8.1400,4.605837343882806,0.000000000000000,-4.605837343882806
-8.1300,4.605837343882806,0.000000000000000,-4.605837343882806
-8.1200,4.605837343882806,0.000000000000000,-4.605837343882806
-8.1100,4.605837343882806,0.000000000000000,-4.605837343882806
-8.1000,4.605837343882806,0.000000000000000,-4.605837343882806
-8.0900,4.605837343882806,0.000000000000000,-4.605837343882806
-8.0800,4.605837343882806,0.000000000000000,-4.605837343882806
-8.0700,4.605837343882806,0.000000000000000,-4.605837343882806
-8.0600,4.605837343882806,0.000000000000000,-4.605837343882806
-8.0500,4.605837343882806,0.000000000000000,-4.605837343882806
-8.0400,4.605837343882806,0.000000000000000,-4.605837343882806
